hypothesis_id,estimand_id,formula,numerator,denominator,population,period,unit,accounting_basis,perimeter,primary_sources,tolerance_rule,materiality_rule,falsification_rule,exploratory_or_confirmatory,counterfactual_class,alternative_perimeter_set,required_source_class,protocol_version,status
H1,employee_remittance_gap,employee_deductions_withheld - employee_contributions_received after timing/perimeter adjustments,employee_deductions_withheld minus recorded_cga_worker_revenue plus reconciliation adjustments,contribution_base_payroll,CGA-covered workers,1977-2025 where sources permit,EUR_million,institutional_cash_accounts,CGA,payroll records;CGA accounts;CGE,absolute residual <= EUR 1.0 million or documented source rounding,material if absolute gap > EUR 10.0 million and > 0.5 percent of payroll,gap disappears after timing arrears base or perimeter reconciliation,confirmatory,not_applicable,not_applicable,payroll_withholding_and_cga_revenue_accounts,0.3.0,defined_requires_sources
H2,employer_legal_gap,legally_due_employer_contributions - employer_contributions_received,legal_employer_rate multiplied by eligible payroll minus recorded_cga_employer_revenue,eligible_employer_payroll,CGA-affiliated employer classes,1977-2025 where law and accounts permit,EUR_million,legal_liability_and_institutional_cash,CGA_by_employer_class,legislation;CGA accounts;CGE,zero legal gap after documented rounding timing and perimeter adjustments,material if absolute legal gap > EUR 10.0 million and > 0.5 percent of eligible payroll,apparent gap disappears after correcting legal rate base timing or perimeter,confirmatory,not_applicable,employer_class_specific_perimeters,legal_rate_history_and_employer_payroll_accounts,0.3.0,defined_requires_sources
H3,cga_closed_scheme_balance_effect,annual balance change decomposed into contributor count payroll rate pensioner count benefit transfer and residual drivers,driver contribution to balance change,prior year comparable balance,CGA contributors pensioners survivors and financing entities,2006-2025,EUR_million,budgetary_CGA,CGA_closed_scheme,DR_LEI60_2005;CGA accounts;CGE,driver effects must reconcile to annual balance change within EUR 1.0 million,material driver if absolute contribution > EUR 10.0 million and > 1.0 percent of annual pension expenditure,driver attribution fails if residual absorbs unexplained demographic or transfer components,confirmatory,not_applicable,closed_CGA_only;CGA_with_State_transfers,annual_demographic_counts_and_component_ledgers,0.3.0,defined_requires_sources
H4,post_2006_rgss_reallocation,public_worker_rgss_contributions_after_closure by worker and employer component,public_worker_rgss_worker_plus_employer_contributions,total_rgss_contributions,public workers entering RGSS after 2006,2006-2025,EUR_million,cash_contribution_flow,RGSS_previdential_public_worker_subset,SIOE_DGAEP;Social Security accounts;legislation,bounds must not exceed aggregate RGSS contribution totals,material if public-worker flow > EUR 10.0 million and > 0.5 percent of RGSS contribution revenue,estimate exceeds plausible aggregate RGSS contribution totals,confirmatory,not_applicable,public_worker_subset;all_RGSS,public_worker_cohorts_payroll_and_rgss_accounts,0.3.0,defined_requires_sources
H5,combined_balance_definition_sensitivity,reported and alternative CGA-RGSS balance under preregistered perimeters,CGA balance plus selected RGSS and FEFSS components,total pension-system cash balance,CGA RGSS Social Security FEFSS and State Budget,2006-2025,EUR_million,mixed_budgetary_and_institutional_accounts,preregistered_combined_balance_perimeters,CGA accounts;Conta da Seguranca Social;FEFSS accounts;CGE,component bridge residual <= EUR 1.0 million or documented source rounding,material if sign or magnitude changes by > EUR 10.0 million under an alternative perimeter,source data cannot reproduce published combined-balance sign under stated perimeter,confirmatory,not_applicable,CGA_only;RGSS_previdential_only;CGA_plus_RGSS;CGA_plus_RGSS_plus_FEFSS;consolidated_general_government,annual_institutional_balances_and_fefss_flows,0.3.0,defined_requires_sources
H6,counterfactual_financing_consistency,counterfactual balance path under preregistered financing rule,counterfactual contributions transfers reserve flows and returns,observed financing and pension expenditure path,CGA RGSS FEFSS State Budget and bank transfer modules,2006-2025,EUR_million,counterfactual_stock_flow_accounts,scenario_specific_counterfactual_perimeter,counterfactual_registry;component ledgers;FEFSS returns,budget identity residual <= EUR 1.0 million for implemented scenarios,material if counterfactual changes annual balance or reserve stock by > EUR 10.0 million,scenario violates explicit financing source or double-counts reserve accumulation,confirmatory,economic_scenario,CF1_legal_compliance;CF2_funding_substitution;CF3_funded_reserve;CF4_bank_discount_sensitivity,complete_component_ledgers_and_return_series,0.3.0,defined_requires_sources
H7,bank_transfer_inception_balance,assets transferred minus actuarial liability value under statutory and sensitivity assumptions,transferred asset value minus liability present value,liability present value,transferred bank pension responsibilities,2011-2012,EUR_million,legal_valuation_and_asset_transfer_accounts,DL127_bank_transfer_panel,DR_DL127_2011;bank transfer schedules;actuarial reports,valuation residual tolerance defined by legal schedule and rounding,material if residual > EUR 10.0 million or > 0.5 percent of liability value,asset and liability schedules cannot reconcile under statutory 4 percent valuation,confirmatory,legal_replication,main_DL127_panel;broader_bank_panel_with_BPN,bank_level_assets_liabilities_and_actuarial_cashflows,0.3.0,defined_requires_sources
H8,bank_state_financing_residual,special_regime_pension_expenditure + administration - state_specific_transfer - attributable_asset_financing - other_financing,pension expenditure plus administration minus financing components,pension expenditure,transferred bank pensions,2012 onward,EUR_million,institutional_cash_accounts,Social_Security_special_banking_regime,Conta da Seguranca Social;DL127_2011;CGE,annual residual tolerance tied to source rounding and timing,material if annual residual > EUR 10.0 million and > 1.0 percent of pension expenditure,residual reconciles after legal financing timing and asset-income adjustments,confirmatory,not_applicable,DL127_only;DL127_plus_BPN,annual_bank_pension_expenditure_and_financing_accounts,0.3.0,defined_requires_sources
H9,bank_liability_relief_net_position,bank liability extinguished minus assets surrendered and retained obligations,liability relief minus surrendered assets minus retained responsibility value,pre-transfer pension liability,participating banks,2011-2012,EUR_million,audited_financial_statement_accounts,bank_level_transfer_panel,bank financial statements;transfer schedules;actuarial reports,bank-level residual tolerance tied to audited statement rounding,material if bank-level net position > EUR 10.0 million or > 0.5 percent of liability value,bank statements do not show liability relief or retained obligations as specified,confirmatory,economic_scenario,bank_level;aggregate_panel,audited_bank_statements_and_transfer_schedules,0.3.0,defined_requires_sources
H10,esa_bank_transfer_treatment,ESA95 deficit effect and ESA2010 financial-transaction classification bridge,reported transfer effect on deficit,nominal GDP and national-accounts balance,2011 bank pension transfer,2011 and restated ESA2010 series,EUR_million_and_percent_GDP,national_accounts,general_government,Eurostat;European Commission;CGE 2011,published 3.5 percent GDP benchmark must reproduce within 0.1 percentage points,material if classification changes deficit effect by >= 0.1 percent GDP,official ESA data cannot reproduce either treatment,confirmatory,not_applicable,ESA95;ESA2010,official_national_accounts_and_edp_bridge_tables,0.3.0,defined_requires_sources
