source_record_id,institution,years_required,required_documents,source_locator,acquisition_status,extraction_status,required_fields,merger_resolution_flag,blocking_issue,notes
BANK_FS_SRC_01,Barclays Bank PLC - Sucursal em Portugal,2011;2012,audited annual report or branch financial statements,not_acquired,not_acquired,not_extracted,liability_derecognized;assets_surrendered;gain_loss;capital_effect;retained_obligations;accounting_policy_note,unknown,primary audited statements and extraction pages missing,Required before measuring bank-side benefit channels
BANK_FS_SRC_02,"BANIF - Banco Internacional do Funchal, S. A.",2011;2012,audited annual report or bank financial statements,not_acquired,not_acquired,not_extracted,liability_derecognized;assets_surrendered;gain_loss;capital_effect;retained_obligations;accounting_policy_note,unknown,primary audited statements and extraction pages missing,Required before measuring bank-side benefit channels
BANK_FS_SRC_03,"Banco Bilbao Vizcaya Argentaria (Portugal), S. A.",2011;2012,audited annual report or bank financial statements,not_acquired,not_acquired,not_extracted,liability_derecognized;assets_surrendered;gain_loss;capital_effect;retained_obligations;accounting_policy_note,unknown,primary audited statements and extraction pages missing,Required before measuring bank-side benefit channels
BANK_FS_SRC_04,"Banco BPI, S. A.",2011;2012,audited annual report or bank financial statements,not_acquired,not_acquired,not_extracted,liability_derecognized;assets_surrendered;gain_loss;capital_effect;retained_obligations;accounting_policy_note,unknown,primary audited statements and extraction pages missing,Required before measuring bank-side benefit channels
BANK_FS_SRC_05,"Banco Português de Investimento, S. A.",2011;2012,audited annual report or bank financial statements,not_acquired,not_acquired,not_extracted,liability_derecognized;assets_surrendered;gain_loss;capital_effect;retained_obligations;accounting_policy_note,unknown,primary audited statements and extraction pages missing,Required before measuring bank-side benefit channels
BANK_FS_SRC_06,Banco do Brasil AG - Sucursal em Portugal,2011;2012,audited annual report or branch financial statements,not_acquired,not_acquired,not_extracted,liability_derecognized;assets_surrendered;gain_loss;capital_effect;retained_obligations;accounting_policy_note,unknown,primary audited statements and extraction pages missing,Required before measuring bank-side benefit channels
BANK_FS_SRC_07,"Banco Espírito Santo, S. A.",2011;2012,audited annual report or bank financial statements,not_acquired,not_acquired,not_extracted,liability_derecognized;assets_surrendered;gain_loss;capital_effect;retained_obligations;accounting_policy_note,unknown,primary audited statements and extraction pages missing,Required before measuring bank-side benefit channels
BANK_FS_SRC_08,"Banco Espírito Santo de Investimento, S. A.",2011;2012,audited annual report or bank financial statements,not_acquired,not_acquired,not_extracted,liability_derecognized;assets_surrendered;gain_loss;capital_effect;retained_obligations;accounting_policy_note,unknown,primary audited statements and extraction pages missing,Required before measuring bank-side benefit channels
BANK_FS_SRC_09,"Banco Espírito Santo dos Açores, S. A.",2011;2012,audited annual report or bank financial statements,not_acquired,not_acquired,not_extracted,liability_derecognized;assets_surrendered;gain_loss;capital_effect;retained_obligations;accounting_policy_note,unknown,primary audited statements and extraction pages missing,Required before measuring bank-side benefit channels
BANK_FS_SRC_10,"Banco Credibom, S. A.",2011;2012,audited annual report or bank financial statements,not_acquired,not_acquired,not_extracted,liability_derecognized;assets_surrendered;gain_loss;capital_effect;retained_obligations;accounting_policy_note,unknown,primary audited statements and extraction pages missing,Required before measuring bank-side benefit channels
BANK_FS_SRC_11,"Banco Popular Portugal, S. A.",2011;2012,audited annual report or bank financial statements,not_acquired,not_acquired,not_extracted,liability_derecognized;assets_surrendered;gain_loss;capital_effect;retained_obligations;accounting_policy_note,unknown,primary audited statements and extraction pages missing,Required before measuring bank-side benefit channels
BANK_FS_SRC_12,"Banco Santander Totta, S. A. - fundo de pensões do ex-Crédito Predial Português e do ex-Banco Santander Portugal",2011;2012,audited annual report or bank financial statements,not_acquired,not_acquired,not_extracted,liability_derecognized;assets_surrendered;gain_loss;capital_effect;retained_obligations;accounting_policy_note,unknown,primary audited statements and extraction pages missing,Required before measuring bank-side benefit channels
BANK_FS_SRC_13,"BNP Paribas, S. A. - Sucursal em Portugal",2011;2012,audited annual report or branch financial statements,not_acquired,not_acquired,not_extracted,liability_derecognized;assets_surrendered;gain_loss;capital_effect;retained_obligations;accounting_policy_note,unknown,primary audited statements and extraction pages missing,Required before measuring bank-side benefit channels
BANK_FS_SRC_14,Caixa Económica Montepio Geral,2011;2012,audited annual report or bank financial statements,not_acquired,not_acquired,not_extracted,liability_derecognized;assets_surrendered;gain_loss;capital_effect;retained_obligations;accounting_policy_note,unknown,primary audited statements and extraction pages missing,Required before measuring bank-side benefit channels
BANK_FS_SRC_15,"Banco Comercial Português, S. A.",2011;2012,audited annual report or bank financial statements,not_acquired,not_acquired,not_extracted,liability_derecognized;assets_surrendered;gain_loss;capital_effect;retained_obligations;accounting_policy_note,unknown,primary audited statements and extraction pages missing,Required before measuring bank-side benefit channels
BANK_FS_SRC_16,"Banco de Investimento Imobiliário, S. A.",2011;2012,audited annual report or bank financial statements,not_acquired,not_acquired,not_extracted,liability_derecognized;assets_surrendered;gain_loss;capital_effect;retained_obligations;accounting_policy_note,unknown,primary audited statements and extraction pages missing,Required before measuring bank-side benefit channels
BANK_FS_SRC_17,"Banco Activobank (Portugal), S. A.",2011;2012,audited annual report or bank financial statements,not_acquired,not_acquired,not_extracted,liability_derecognized;assets_surrendered;gain_loss;capital_effect;retained_obligations;accounting_policy_note,unknown,primary audited statements and extraction pages missing,Required before measuring bank-side benefit channels
BANK_FS_SRC_18,"UNICRE - Instituição Financeira de Crédito, S. A.",2011;2012,audited annual report or bank financial statements,not_acquired,not_acquired,not_extracted,liability_derecognized;assets_surrendered;gain_loss;capital_effect;retained_obligations;accounting_policy_note,unknown,primary audited statements and extraction pages missing,Required before measuring bank-side benefit channels
