reconciliation_id,year,module,lhs,rhs,residual,unit,status,explanation,source_ids
CGA_2011_CGE_BALANCE_DECOMPOSITION,2011,cga_financing_ledger,186.2,476.7 + -290.6,0.1,EUR_million,reconciled_rounding,CGE reports CGA global balance of 186.2 and CGA excluding PT pension-fund effect of -290.6 with PT effect of 476.7; residual is one-decimal rounding,DGO_CGE_2011
CGA_2011_FULL_FINANCING_IDENTITY,2011,cga_financing_ledger,,,,EUR_million,blocked_missing_components,CGE 2011 volume 1 does not provide employee quotations employer contributions total State Budget transfers investment income pension expenditure other benefits administration contributor count pensioner count or payroll in one component ledger,DGO_CGE_2011
EMPLOYEE_REMITTANCE_2011,2011,employee_remittance_audit,,,,EUR_million,blocked_missing_payroll_and_revenue_data,Legal worker rate is known but the registered sources do not provide payroll amounts actually withheld or CGA worker-quota revenue separated from other contributions,TC_ACORDAO_362_2016;CGA_ORGANIC_2012;DGO_CGE_2011
EMPLOYER_CONTRIBUTION_LEGAL_2011,2011,employer_contribution_audit,,,,EUR_million,blocked_missing_payroll_and_revenue_data,Legal employer rates are known by employer class but payroll bases and recorded CGA employer-contribution revenue are missing,TC_ACORDAO_362_2016;DGO_CGE_2011
EMPLOYER_CONTRIBUTION_BENCHMARK_2011,2011,employer_contribution_audit,,,,EUR_million,blocked_missing_payroll_and_revenue_data,Economic benchmark uses a separate 23.75 percent rate and is not a legal debt; payroll bases and recorded employer revenue are missing,DR_EA_CONSOLIDATED;DGO_CGE_2011
PUBLIC_WORKER_RGSS_REALLOCATION_2006_2025,2006-2025,public_worker_reallocation,,,,EUR_million,blocked_missing_public_employment_payroll,Lei 60/2005 identifies the CGA closure mechanism but the registered sources do not provide year-level public-worker new-entrant counts contribution bases or RGSS contribution rates for mechanical flow estimation,DR_LEI60_2005
BANK_ASSET_LIABILITY_2011_AGGREGATE,2011,bank_asset_liability_audit,5993.2,3263.1,,EUR_million,blocked_different_accounting_items,CGE 2011 reports EUR 5993.2m for the banking pension-fund transfer and EUR 3263.1m as the 2011 part recorded as non-tax revenue; these are not a final bank-level statutory equality reconciliation,DGO_CGE_2011;DR_DL127_2011
BANK_STATE_FINANCING_2012_2025,2012-2025,bank_special_regime_annual,,,,EUR_million,blocked_missing_official_annual_components,Annual residuals require State transfer pension expenditure administrative cost asset-financing other financing and timing components; missing components must not be treated as zero or classified as Social Security loss,DR_DL127_2011;EC_EXPOST_PAEF;TC_PCGE_2024
BANK_BENEFIT_RISK_DISTRIBUTION_2011,2011,bank_benefit_risk_distribution,,,,EUR_million,blocked_missing_bank_level_values,The legal transfer identifies risk channels but does not provide bank-level extinguished liability values surrendered asset values retained-liability values or sensitivity inputs needed for a demonstrable net subsidy test,DR_DL127_2011;DGO_CGE_2011;EC_EXPOST_PAEF
BANK_ESA_TREATMENT_BRIDGE_2011,2011,bank_esa_treatment_bridge,5993.2 / 171234.2857142857 * 100,3.5,0.0,percent_GDP,reconciled,ESA-95 percent GDP bridge reconciles the CGE EUR amount to the reported 3.5 percent GDP; ESA-2010 classification is confirmed from EC text but not independently regenerated from machine-readable national accounts,EC_EXPOST_PAEF;DGO_CGE_2011
BANK_PENSION_COST_2012_OFFICIAL_TO_EC,2012,bank_pension_cost_2012,516.0,500.0,16.0,EUR_million,reconciled_approximation,Tribunal de Contas reports EUR 516.0m paid for banking substitute-regime pensions and therefore reconciles the European Commission statement of about EUR 0.5bn,TC_AEO_2013_SS_2012;EC_EXPOST_PAEF
BANK_PENSION_COST_2012_FINANCING,2012,bank_pension_cost_2012,516.0,516.0,0.0,EUR_million,reconciled_same_report,The same official audit reports EUR 516.0m current-transfer financing and EUR 516.0m current-transfer pension expenditure for the 2012 banking substitute-regime perimeter,TC_AEO_2013_SS_2012
BANK_DEBT_INTEREST_2012_PROGRAMME_RATE,2012,bank_transfer_debt_financing_effects,-3263.1 * 0.026,-84.8406,0.0,EUR_million,reconciled_sensitivity,Potential annual interest saving if the 2011 recorded asset receipt substituted financing at the Banco de Portugal programme-loan equivalent annual rate,BDP_ANNUAL_REPORT_2012;DGO_CGE_2011
BANK_DEBT_INTEREST_2012_IMPLICIT_RATE,2012,bank_transfer_debt_financing_effects,-3263.1 * 0.037,-120.7347,0.0,EUR_million,reconciled_sensitivity,Potential annual interest saving if the 2011 recorded asset receipt substituted financing at the Banco de Portugal implicit public-debt rate,BDP_ANNUAL_REPORT_2012;DGO_CGE_2011
BANK_DEBT_INTEREST_2012_10Y_RATE,2012,bank_transfer_debt_financing_effects,-3263.1 * 0.073,-238.2063,0.0,EUR_million,reconciled_sensitivity,Potential annual interest saving if the 2011 recorded asset receipt substituted financing at the December 2012 10-year Treasury yield,BDP_ANNUAL_REPORT_2012;DGO_CGE_2011
BANK_DEBT_GROSS_CLASSIFICATION_GAP,2011,bank_transfer_debt_financing_effects,,,,EUR_million,blocked_missing_asset_composition,Gross-debt and consolidated public-finance classification requires final cash public-debt-security and other-asset composition plus pension-obligation valuation; aggregate transfer values are insufficient,DGO_CGE_2011;DR_DL127_2011;EC_EXPOST_PAEF
BPN_2012_LEGAL_TO_ACCOUNT_TRANSFER,2012,bpn_2012_pension_transfer,96.768004,96.8,-0.031996,EUR_million,reconciled_rounding,DL88 states EUR 96.768004m transferred to CGA and Tribunal de Contas reports the BPN reserve constitution value as EUR 96.8m in the rounded CGA table,DR_DL88_2012;TC_AEO_2013_SS_2012
BPN_2012_PANEL_BOUNDARY,2012,bpn_2012_pension_transfer,,,,not_applicable,reconciled_perimeter,DL88 assigns BPN responsibilities to CGA and creates a 2012 case separate from the 2011 DL127 transfer to Social Security and the State,DR_DL88_2012;DR_DL127_2011
FLOW_FUNDS_CGA_2011_BALANCE_BRIDGE,2011,pension_flow_of_funds_long,186.2,476.7 + -290.6,0.1,EUR_million,reconciled_rounding,Flow matrix bridge rows reproduce the CGA 2011 global balance decomposition while preserving the PT pension-fund effect as a separate public-private row,DGO_CGE_2011
FLOW_FUNDS_BANK_2012_CASH_IDENTITY,2012,pension_flow_of_funds_long,516.0,516.0,0.0,EUR_million,reconciled_same_report,Flow matrix rows tie the State Budget to Social Security financing row to the Social Security pension-payment row for the rounded 2012 banking substitute-regime amount,TC_AEO_2013_SS_2012
FLOW_FUNDS_BANK_2012_FINANCING_SPLIT,2012,pension_flow_of_funds_long,516.0,515.8 + 0.1359,0.0641,EUR_million,reconciled_rounding,Flow matrix separates the State Budget and CGA BPN-related financing components and leaves the small difference to the rounded official total,TC_AEO_2013_SS_2012
FLOW_FUNDS_BPN_2012_ASSET_BRIDGE,2012,pension_flow_of_funds_long,96.768004,96.8,-0.031996,EUR_million,reconciled_rounding,Flow matrix keeps the DL88 BPN asset transfer to CGA separate from the main 2011 DL127 bank-transfer rows,DR_DL88_2012;TC_AEO_2013_SS_2012
