"variable_id","year","source_id","coverage_status","format","granularity","definition_break","revision_status","notes"
"cge_public_accounts","1977","DR_LEI64_1977;DGO_CGE_ARCHIVE","definition-break","pdf_or_html_catalogue","annual_public_accounts","Lei_64_1977_progressive_services_and_funds_inclusion","not_extracted","CGE horizon starts with statutory progressive inclusion of autonomous services and funds."
"cge_public_accounts","1978","DGO_CGE_ARCHIVE","observed","pdf_or_html_catalogue","annual_public_accounts","none","not_extracted","DGO CGE catalogue provides official account route; extraction still required."
"cge_public_accounts","1979","DGO_CGE_ARCHIVE","observed","pdf_or_html_catalogue","annual_public_accounts","none","not_extracted","DGO CGE catalogue provides official account route; extraction still required."
"cge_public_accounts","1980","DGO_CGE_ARCHIVE","observed","pdf_or_html_catalogue","annual_public_accounts","none","not_extracted","DGO CGE catalogue provides official account route; extraction still required."
"cge_public_accounts","1981","DGO_CGE_ARCHIVE","observed","pdf_or_html_catalogue","annual_public_accounts","none","not_extracted","DGO CGE catalogue provides official account route; extraction still required."
"cge_public_accounts","1982","DGO_CGE_ARCHIVE","observed","pdf_or_html_catalogue","annual_public_accounts","none","not_extracted","DGO CGE catalogue provides official account route; extraction still required."
"cge_public_accounts","1983","DGO_CGE_ARCHIVE","observed","pdf_or_html_catalogue","annual_public_accounts","none","not_extracted","DGO CGE catalogue provides official account route; extraction still required."
"cge_public_accounts","1984","DGO_CGE_ARCHIVE","observed","pdf_or_html_catalogue","annual_public_accounts","none","not_extracted","DGO CGE catalogue provides official account route; extraction still required."
"cge_public_accounts","1985","DGO_CGE_ARCHIVE","observed","pdf_or_html_catalogue","annual_public_accounts","none","not_extracted","DGO CGE catalogue provides official account route; extraction still required."
"cge_public_accounts","1986","DGO_CGE_ARCHIVE","observed","pdf_or_html_catalogue","annual_public_accounts","none","not_extracted","DGO CGE catalogue provides official account route; extraction still required."
"cge_public_accounts","1987","DGO_CGE_ARCHIVE","observed","pdf_or_html_catalogue","annual_public_accounts","none","not_extracted","DGO CGE catalogue provides official account route; extraction still required."
"cge_public_accounts","1988","DGO_CGE_ARCHIVE","observed","pdf_or_html_catalogue","annual_public_accounts","none","not_extracted","DGO CGE catalogue provides official account route; extraction still required."
"cge_public_accounts","1989","DGO_CGE_ARCHIVE","observed","pdf_or_html_catalogue","annual_public_accounts","none","not_extracted","DGO CGE catalogue provides official account route; extraction still required."
"cge_public_accounts","1990","DGO_CGE_ARCHIVE","observed","pdf_or_html_catalogue","annual_public_accounts","none","not_extracted","DGO CGE catalogue provides official account route; extraction still required."
"cge_public_accounts","1991","DGO_CGE_ARCHIVE","observed","pdf_or_html_catalogue","annual_public_accounts","none","not_extracted","DGO CGE catalogue provides official account route; extraction still required."
"cge_public_accounts","1992","DGO_CGE_ARCHIVE","observed","pdf_or_html_catalogue","annual_public_accounts","none","not_extracted","DGO CGE catalogue provides official account route; extraction still required."
"cge_public_accounts","1993","DGO_CGE_ARCHIVE","observed","pdf_or_html_catalogue","annual_public_accounts","none","not_extracted","DGO CGE catalogue provides official account route; extraction still required."
"cge_public_accounts","1994","DGO_CGE_ARCHIVE","observed","pdf_or_html_catalogue","annual_public_accounts","none","not_extracted","DGO CGE catalogue provides official account route; extraction still required."
"cge_public_accounts","1995","DGO_CGE_ARCHIVE","observed","pdf_or_html_catalogue","annual_public_accounts","none","not_extracted","DGO CGE catalogue provides official account route; extraction still required."
"cge_public_accounts","1996","DGO_CGE_ARCHIVE","observed","pdf_or_html_catalogue","annual_public_accounts","none","not_extracted","DGO CGE catalogue provides official account route; extraction still required."
"cge_public_accounts","1997","DGO_CGE_ARCHIVE","observed","pdf_or_html_catalogue","annual_public_accounts","none","not_extracted","DGO CGE catalogue provides official account route; extraction still required."
"cge_public_accounts","1998","DGO_CGE_ARCHIVE","observed","pdf_or_html_catalogue","annual_public_accounts","none","not_extracted","DGO CGE catalogue provides official account route; extraction still required."
"cge_public_accounts","1999","DGO_CGE_ARCHIVE","observed","pdf_or_html_catalogue","annual_public_accounts","none","not_extracted","DGO CGE catalogue provides official account route; extraction still required."
"cge_public_accounts","2000","DGO_CGE_ARCHIVE","observed","pdf_or_html_catalogue","annual_public_accounts","none","not_extracted","DGO CGE catalogue provides official account route; extraction still required."
"cge_public_accounts","2001","DGO_CGE_ARCHIVE","observed","pdf_or_html_catalogue","annual_public_accounts","none","not_extracted","DGO CGE catalogue provides official account route; extraction still required."
"cge_public_accounts","2002","DGO_CGE_ARCHIVE","observed","pdf_or_html_catalogue","annual_public_accounts","none","not_extracted","DGO CGE catalogue provides official account route; extraction still required."
"cge_public_accounts","2003","DGO_CGE_ARCHIVE","observed","pdf_or_html_catalogue","annual_public_accounts","none","not_extracted","DGO CGE catalogue provides official account route; extraction still required."
"cge_public_accounts","2004","DGO_CGE_ARCHIVE","observed","pdf_or_html_catalogue","annual_public_accounts","none","not_extracted","DGO CGE catalogue provides official account route; extraction still required."
"cge_public_accounts","2005","DGO_CGE_ARCHIVE","observed","pdf_or_html_catalogue","annual_public_accounts","none","not_extracted","DGO CGE catalogue provides official account route; extraction still required."
"cge_public_accounts","2006","DGO_CGE_ARCHIVE","observed","pdf_or_html_catalogue","annual_public_accounts","none","not_extracted","DGO CGE catalogue provides official account route; extraction still required."
"cge_public_accounts","2007","DGO_CGE_ARCHIVE","observed","pdf_or_html_catalogue","annual_public_accounts","none","not_extracted","DGO CGE catalogue provides official account route; extraction still required."
