record_id,legal_source_id,instrument,publication_date,effective_date,category,article,subject,legal_rule,value,unit,status,notes
BANK_TIMELINE_2009,DR_DL54_2009,Decreto-Lei n.º 54/2009,2009-03-02,2009-03-03,timeline,summary,new banking-sector workers,New banking-sector workers enter the general Social Security regime rather than the substitute banking regime,,,source_acquired,Raw issue PDF acquired and hashed
BANK_TIMELINE_2011_ACTIVE,DR_DL1A_2011,Decreto-Lei n.º 1-A/2011,2011-01-03,2011-01-04,timeline,summary,active banking-sector workers,Active workers covered by the substitute banking regime are integrated into the general Social Security regime for specified contingencies and CAFEB is extinguished,,,source_acquired,Raw issue PDF acquired and hashed
BANK_TIMELINE_2011_TRANSFER,DR_DL127_2011,Decreto-Lei n.º 127/2011,2011-12-31,2011-12-31,timeline,summary,pensioners and pension funds,Defines the transfer to Social Security and the State of specified banking-sector pension responsibilities and corresponding pension-fund assets,,,official_detail_registered,Official DR detail page used; raw PDF endpoint not yet acquired
BANK_TIMELINE_2012_BPN,DR_DL88_2012,Decreto-Lei n.º 88/2012,2012-04-11,2012-04-12,timeline,summary,BPN group case,Defines the BPN-specific integration and transfer of specified pension responsibilities,,,source_acquired,Raw issue PDF acquired and hashed
DL127_OBJECT_1,DR_DL127_2011,Decreto-Lei n.º 127/2011,2011-12-31,2011-12-31,pensions_assumed,Artigo 1.º n.º 1 alínea a),pensions assumed by Social Security,Social Security assumes responsibility for pensions in payment on 31 December 2011 under the substitute banking social-security regime,,,official_detail_registered,Required extraction field
DL127_OBJECT_2,DR_DL127_2011,Decreto-Lei n.º 127/2011,2011-12-31,2011-12-31,assets_transferred,Artigo 1.º n.º 1 alínea b),assets transferred to the State,Ownership of pension-fund assets allocated to the assumed pension responsibilities is transferred to the State,,,official_detail_registered,Required extraction field
DL127_OBJECT_3,DR_DL127_2011,Decreto-Lei n.º 127/2011,2011-12-31,2011-12-31,state_financing,Artigo 1.º n.º 1 alínea c),financing obligation of the State,The diploma defines the terms of State financing for the assumed pension responsibilities,,,official_detail_registered,Required extraction field
DL127_SCOPE_1,DR_DL127_2011,Decreto-Lei n.º 127/2011,2011-12-31,2011-12-31,subjective_scope,Artigo 2.º alínea a),covered pensioners,Covered beneficiaries are retirees and pensioners in the substitute banking regime in that condition on 31 December 2011,2011-12-31,date,official_detail_registered,Required extraction field
DL127_SCOPE_2,DR_DL127_2011,Decreto-Lei n.º 127/2011,2011-12-31,2011-12-31,subjective_scope,Artigo 2.º alínea b),participating institutions,Covered institutions are banks and other credit institutions identified in the annex,,,official_detail_registered,Annex institution rows separately enumerated
DL127_SS_RESP_1,DR_DL127_2011,Decreto-Lei n.º 127/2011,2011-12-31,2012-01-01,pensions_assumed,Artigo 3.º n.os 1-3,Social Security responsibility,Social Security assumes pensions payable on 31 December 2011 and is responsible from 1 January 2012 for pension amounts corresponding to pensioning of remuneration at 31 December 2011 including Christmas subsidy and 14th month,2012-01-01,date,official_detail_registered,Required extraction field
