section_id,section_title,required_labels,required_evidence_ids,permitted_claim_class,blocked_claim_class,dependency_gate,status,notes
MS_INTRO,Introduction,[Interpretation];[Unresolved evidence],not_applicable,bounded motivation and open hypotheses,definitive harm conclusion or causal finding,falsification_decision_requirements,bounded_section,Opening must frame suspicions as open hypotheses
MS_METHOD,Evidence and Validation Method,[Interpretation];[Unresolved evidence],not_applicable,source-to-claim validation and falsification-oriented blocker rule,final result claim or estimate substituted for missing source input,falsification_decision_requirements,bounded_section,Method section may define gates but not certify final evidence completion
MS_RELATED,Related Work and Contribution,[Interpretation],not_applicable,bounded literature positioning and contribution statement,proof of novelty or final literature exhaustion claim,literature_map,bounded_section,Related-work section must treat recorded absence as bounded search evidence only
MS_QUESTIONS,Research Questions,[Interpretation];[Unresolved evidence],not_applicable,bounded research-question framing and missing-input boundary,definitive answer or numeric estimate for unresolved hypotheses,analysis_protocol,bounded_section,Research questions may define scope but not answer blocked hypotheses
MS_SCOPE,Scope and Units of Analysis,[Interpretation],not_applicable,institutional perimeters and flow-stock separation,final consolidated burden or legal-compliance conclusion inferred from labels,concept_registry,bounded_section,Scope section defines units and non-equivalence rules only
MS_SOURCE_COVERAGE,Source Coverage and Conflict Handling,[Interpretation],not_applicable,source-discovery status and conflict-resolution policy,final evidence completion or preferred-value claim without registry resolution,source_coverage_matrix;source_conflict_registry,bounded_section,Source coverage section must not treat observed catalogue routes as extracted article evidence
MS_ARCHITECTURE,Institutional Architecture,[Legal fact];[Unresolved evidence],not_applicable,legal architecture summary and missing bank-level net-effect boundary,definitive bank-level net gain or loss as established conclusion,falsification_decision_requirements,bounded_section,Architecture section may describe mechanisms but not infer net effects
MS_ACCOUNTING,Definitions and Accounting Perimeters,[Accounting fact];[Interpretation],AE_BANK_FISCAL_001;AE_BANK_FISCAL_002,ESA-95 and ESA-2010 accounting classification bridge,welfare gain bank subsidy or uncompensated Social Security cost,article_evidence_claim_boundaries,bounded_section,Accounting treatment is not an economic or lifecycle conclusion
MS_DATA,Data and Historical Reconstruction,[Accounting fact];[Unresolved evidence],not_applicable,registered article-evidence coverage and blocked historical series,final completed historical account or filled missing primary-source series,article_evidence;data_quality_registry,bounded_section,Data section may describe current registered coverage but not imply complete source extraction
MS_CGA,CGA Financing,[Accounting fact];[Unresolved evidence],AE_CGA_CGE_2011_001,2011 CGA balance decomposition within rounding,historical remittance gap employer underpayment or State-transfer intent,falsification_decision_requirements,bounded_section,Full CGA component history remains missing
MS_CONTRIBUTIONS,Contribution Remittance,[Unresolved evidence],not_applicable,missing-input limitations for employee and employer contribution questions,definitive remittance loss or quantified employer underpayment,falsification_decision_requirements,bounded_section,Contribution claims remain unresolved by current evidence
MS_REFORM,The 2006 Reform,[Unresolved evidence],not_applicable,CGA closure mechanism and missing cohort-input boundary,numeric post-2006 reallocation magnitude claim,counterfactual_execution_requirements,bounded_section,No numerical reallocation result is authorized
MS_BANK,Banking-Sector Pension Transfer,[Accounting fact];[Legal fact];[Interpretation],AE_BANK_AL_2011_001;AE_BANK_AL_2011_002;AE_BANK_COST_001;AE_BPN_2012_002;AE_BANK_DEBT_001,official account values legal BPN boundary and financing-resource distinction,bank-transfer subsidy lifecycle public-finance gain or loss bank-level net benefit,article_evidence_claim_boundaries,bounded_section,Bank section can report official values and legal boundaries only
MS_BALANCE,Balance Reconstruction,[Unresolved evidence],not_applicable,flow-of-funds row-selection limitation,combined-balance sign or complete system-wide deficit,flow_of_funds_bridge_selection_requirements,bounded_section,Combined-balance figure remains blocked
MS_COUNTERFACTUAL,Counterfactual Financing,[Counterfactual result];[Actuarial assumption],not_applicable,counterfactual rules and discount-rate scenario definitions,numeric counterfactual result or computed actuarial PV,counterfactual_execution_requirements,bounded_section,No numeric counterfactual history is reported
MS_LIMITATIONS,Limitations,[Unresolved evidence];[Interpretation],not_applicable,partial reconstruction scaffold and explicit data gaps,final causal finding or completed manuscript claim,publication_artifact_readiness_requirements,bounded_section,Conclusion must remain conditional on unresolved source work
