record_id,year,institution,perimeter,source_label,measure,value,unit,price_basis,accounting_basis,source_id,sheet,cell,extraction_method,status,notes
CGE2023_AP_PUBLIC_ACCOUNT_BALANCE,2023,administracoes_publicas,consolidated_public_administrations,saldo_global,public_accounting_balance,7586.818006,EUR_million,current_prices,public_accounting_cash_basis,DGO_CGE_2023_TABLES,Quadro 3.1.,F42,xlsx_cell_extraction,extracted,Total public-administration saldo global in public-accounting perspective.
CGE2023_AC_PUBLIC_ACCOUNT_BALANCE,2023,administracao_central,central_government,saldo_global,public_accounting_balance,1893.260574,EUR_million,current_prices,public_accounting_cash_basis,DGO_CGE_2023_TABLES,Quadro 3.1.,C42,xlsx_cell_extraction,extracted,Central-government saldo global in consolidated public-administration table.
CGE2023_SS_PUBLIC_ACCOUNT_BALANCE,2023,seguranca_social,social_security_subsector,saldo_global,public_accounting_balance,5477.405535,EUR_million,current_prices,public_accounting_cash_basis,DGO_CGE_2023_TABLES,Quadro 3.1.,D42,xlsx_cell_extraction,reconciled,Social Security saldo global equals effective revenue minus effective expenditure in the same table.
CGE2023_AC_SS_PUBLIC_ACCOUNT_BALANCE,2023,administracao_central_e_seguranca_social,central_government_plus_social_security,saldo_global,public_accounting_balance,7370.666109,EUR_million,current_prices,public_accounting_cash_basis,DGO_CGE_2023_TABLES,Quadro 3.2.,E42,xlsx_cell_extraction,extracted,Consolidated central-government and Social Security saldo global.
CGE2023_SS_PREVIDENTIAL_BALANCE,2023,seguranca_social,sistema_previdencial_reparticao_capitalizacao,saldo_orcamental,subsystem_budget_balance,5463.551909,EUR_million,current_prices,public_accounting_cash_basis,DGO_CGE_2023_TABLES,Quadro CSS 3,C5,xlsx_cell_extraction,extracted,Sistema Previdencial balance from Social Security account table.
CGE2023_SS_CITIZENSHIP_BALANCE,2023,seguranca_social,sistema_protecao_social_cidadania,saldo_orcamental,subsystem_budget_balance,13.840361,EUR_million,current_prices,public_accounting_cash_basis,DGO_CGE_2023_TABLES,Quadro CSS 3,C6,xlsx_cell_extraction,extracted,Sistema de Protecao Social de Cidadania balance from Social Security account table.
CGE2023_SS_SPECIAL_REGIMES_BALANCE,2023,seguranca_social,sistema_regimes_especiais,saldo_orcamental,subsystem_budget_balance,0.013265,EUR_million,current_prices,public_accounting_cash_basis,DGO_CGE_2023_TABLES,Quadro CSS 3,C7,xlsx_cell_extraction,extracted,Sistema de Regimes Especiais balance from Social Security account table.
CGE2023_SS_EFFECTIVE_REVENUE,2023,seguranca_social,social_security_subsector,receita_efetiva,effective_revenue,38331.864291,EUR_million,current_prices,public_accounting_cash_basis,DGO_CGE_2023_TABLES,Quadro 3.1.,D23,xlsx_cell_extraction,extracted,Social Security effective revenue in consolidated public-administration table.
CGE2023_SS_EFFECTIVE_EXPENDITURE,2023,seguranca_social,social_security_subsector,despesa_efetiva,effective_expenditure,32854.458756,EUR_million,current_prices,public_accounting_cash_basis,DGO_CGE_2023_TABLES,Quadro 3.1.,D41,xlsx_cell_extraction,extracted,Social Security effective expenditure in consolidated public-administration table.
CGE2023_SS_CONTRIBUTIONS,2023,seguranca_social,social_security_subsector,contribuicoes_e_quotizacoes,contribution_revenue,25113.371414,EUR_million,current_prices,public_accounting_cash_basis,DGO_CGE_2023_TABLES,Quadro 3.1.,D10,xlsx_cell_extraction,extracted,Social Security contributions in consolidated public-administration table.
CGE2023_SS_CENTRAL_ADMIN_CURRENT_TRANSFERS,2023,seguranca_social,social_security_subsector,transferencias_correntes_administracao_central,current_transfer_revenue,11030.727475,EUR_million,current_prices,public_accounting_cash_basis,DGO_CGE_2023_TABLES,Quadro CSS 2,E9,xlsx_cell_extraction,extracted,Current transfers from central administration in Social Security budget execution table.
CGE2023_SS_OE_TRANSFERS,2023,seguranca_social,social_security_subsector,transferencias_do_oe,state_budget_transfer_revenue,10645.932346,EUR_million,current_prices,public_accounting_cash_basis,DGO_CGE_2023_TABLES,Quadro CSS 2,E11,xlsx_cell_extraction,extracted,State Budget transfers in Social Security budget execution table.
CGE2023_SS_BANK_PENSIONS_TRANSFER,2023,seguranca_social,banking_substitute_regime,pensoes_bancarios_transferencia,earmarked_transfer_revenue,395.282755,EUR_million,current_prices,public_accounting_cash_basis,DGO_CGE_2023_TABLES,Quadro CSS 2,E17,xlsx_cell_extraction,extracted,Banking-pensions transfer line inside State Budget transfer breakdown.
CGE2023_SS_PENSIONS_EXPENDITURE,2023,seguranca_social,social_security_subsector,pensoes,pension_expenditure,20569.079259,EUR_million,current_prices,public_accounting_cash_basis,DGO_CGE_2023_TABLES,Quadro CSS 2,E35,xlsx_cell_extraction,extracted,Social Security pension expenditure in budget execution table.
