year,source_id,unit,price_basis,accounting_basis,perimeter,employee_quotations,employer_contributions,state_budget_transfers,other_public_transfers,investment_income,pension_expenditure,other_benefits,administration,contributor_count,pensioner_count,contribution_base_payroll,published_additional_state_transfer,reported_global_balance,pt_pension_fund_effect,reported_global_balance_ex_pt_fund,identity_residual,full_identity_status,balance_decomposition_residual,missing_components,status,notes
1977,DR_LEI64_1977;DGO_CGE_ARCHIVE,mixed,current_prices,budgetary_CGA,Caixa Geral de Aposentacoes,,,,,,,,,,,,,,,,,blocked_missing_components,,employee_quotations;employer_contributions;state_budget_transfers;other_public_transfers;investment_income;pension_expenditure;other_benefits;administration;contributor_count;pensioner_count;contribution_base_payroll,blocked_missing_primary_account_components,Registered official account route only; component values are not extracted and must not be treated as zero.
1978,DGO_CGE_ARCHIVE,mixed,current_prices,budgetary_CGA,Caixa Geral de Aposentacoes,,,,,,,,,,,,,,,,,blocked_missing_components,,employee_quotations;employer_contributions;state_budget_transfers;other_public_transfers;investment_income;pension_expenditure;other_benefits;administration;contributor_count;pensioner_count;contribution_base_payroll,blocked_missing_primary_account_components,Registered official account route only; component values are not extracted and must not be treated as zero.
1979,DGO_CGE_ARCHIVE,mixed,current_prices,budgetary_CGA,Caixa Geral de Aposentacoes,,,,,,,,,,,,,,,,,blocked_missing_components,,employee_quotations;employer_contributions;state_budget_transfers;other_public_transfers;investment_income;pension_expenditure;other_benefits;administration;contributor_count;pensioner_count;contribution_base_payroll,blocked_missing_primary_account_components,Registered official account route only; component values are not extracted and must not be treated as zero.
1980,DGO_CGE_ARCHIVE,mixed,current_prices,budgetary_CGA,Caixa Geral de Aposentacoes,,,,,,,,,,,,,,,,,blocked_missing_components,,employee_quotations;employer_contributions;state_budget_transfers;other_public_transfers;investment_income;pension_expenditure;other_benefits;administration;contributor_count;pensioner_count;contribution_base_payroll,blocked_missing_primary_account_components,Registered official account route only; component values are not extracted and must not be treated as zero.
1981,DGO_CGE_ARCHIVE,mixed,current_prices,budgetary_CGA,Caixa Geral de Aposentacoes,,,,,,,,,,,,,,,,,blocked_missing_components,,employee_quotations;employer_contributions;state_budget_transfers;other_public_transfers;investment_income;pension_expenditure;other_benefits;administration;contributor_count;pensioner_count;contribution_base_payroll,blocked_missing_primary_account_components,Registered official account route only; component values are not extracted and must not be treated as zero.
1982,DGO_CGE_ARCHIVE,mixed,current_prices,budgetary_CGA,Caixa Geral de Aposentacoes,,,,,,,,,,,,,,,,,blocked_missing_components,,employee_quotations;employer_contributions;state_budget_transfers;other_public_transfers;investment_income;pension_expenditure;other_benefits;administration;contributor_count;pensioner_count;contribution_base_payroll,blocked_missing_primary_account_components,Registered official account route only; component values are not extracted and must not be treated as zero.
1983,DGO_CGE_ARCHIVE,mixed,current_prices,budgetary_CGA,Caixa Geral de Aposentacoes,,,,,,,,,,,,,,,,,blocked_missing_components,,employee_quotations;employer_contributions;state_budget_transfers;other_public_transfers;investment_income;pension_expenditure;other_benefits;administration;contributor_count;pensioner_count;contribution_base_payroll,blocked_missing_primary_account_components,Registered official account route only; component values are not extracted and must not be treated as zero.
1984,DGO_CGE_ARCHIVE,mixed,current_prices,budgetary_CGA,Caixa Geral de Aposentacoes,,,,,,,,,,,,,,,,,blocked_missing_components,,employee_quotations;employer_contributions;state_budget_transfers;other_public_transfers;investment_income;pension_expenditure;other_benefits;administration;contributor_count;pensioner_count;contribution_base_payroll,blocked_missing_primary_account_components,Registered official account route only; component values are not extracted and must not be treated as zero.
1985,DGO_CGE_ARCHIVE,mixed,current_prices,budgetary_CGA,Caixa Geral de Aposentacoes,,,,,,,,,,,,,,,,,blocked_missing_components,,employee_quotations;employer_contributions;state_budget_transfers;other_public_transfers;investment_income;pension_expenditure;other_benefits;administration;contributor_count;pensioner_count;contribution_base_payroll,blocked_missing_primary_account_components,Registered official account route only; component values are not extracted and must not be treated as zero.
1986,DGO_CGE_ARCHIVE,mixed,current_prices,budgetary_CGA,Caixa Geral de Aposentacoes,,,,,,,,,,,,,,,,,blocked_missing_components,,employee_quotations;employer_contributions;state_budget_transfers;other_public_transfers;investment_income;pension_expenditure;other_benefits;administration;contributor_count;pensioner_count;contribution_base_payroll,blocked_missing_primary_account_components,Registered official account route only; component values are not extracted and must not be treated as zero.
