institution,year,liability_derecognized,assets_surrendered,gain_loss,capital_effect,retained_obligations,measurable_channel,net_value,unit,source_id,status,notes
Barclays Bank PLC - Sucursal em Portugal,2011,,,,,,not_measured,,EUR_million,not_acquired,blocked_missing_audited_statement_extract,Audited statement extraction required before measuring liability relief or bank benefit channel
Barclays Bank PLC - Sucursal em Portugal,2012,,,,,,not_measured,,EUR_million,not_acquired,blocked_missing_audited_statement_extract,Audited statement extraction required before measuring liability relief or retained obligations
"BANIF - Banco Internacional do Funchal, S. A.",2011,,,,,,not_measured,,EUR_million,not_acquired,blocked_missing_audited_statement_extract,Audited statement extraction required before measuring liability relief or bank benefit channel
"BANIF - Banco Internacional do Funchal, S. A.",2012,,,,,,not_measured,,EUR_million,not_acquired,blocked_missing_audited_statement_extract,Audited statement extraction required before measuring liability relief or retained obligations
"Banco Bilbao Vizcaya Argentaria (Portugal), S. A.",2011,,,,,,not_measured,,EUR_million,not_acquired,blocked_missing_audited_statement_extract,Audited statement extraction required before measuring liability relief or bank benefit channel
"Banco Bilbao Vizcaya Argentaria (Portugal), S. A.",2012,,,,,,not_measured,,EUR_million,not_acquired,blocked_missing_audited_statement_extract,Audited statement extraction required before measuring liability relief or retained obligations
"Banco BPI, S. A.",2011,,,,,,not_measured,,EUR_million,not_acquired,blocked_missing_audited_statement_extract,Audited statement extraction required before measuring liability relief or bank benefit channel
"Banco BPI, S. A.",2012,,,,,,not_measured,,EUR_million,not_acquired,blocked_missing_audited_statement_extract,Audited statement extraction required before measuring liability relief or retained obligations
"Banco Português de Investimento, S. A.",2011,,,,,,not_measured,,EUR_million,not_acquired,blocked_missing_audited_statement_extract,Audited statement extraction required before measuring liability relief or bank benefit channel
"Banco Português de Investimento, S. A.",2012,,,,,,not_measured,,EUR_million,not_acquired,blocked_missing_audited_statement_extract,Audited statement extraction required before measuring liability relief or retained obligations
Banco do Brasil AG - Sucursal em Portugal,2011,,,,,,not_measured,,EUR_million,not_acquired,blocked_missing_audited_statement_extract,Audited statement extraction required before measuring liability relief or bank benefit channel
Banco do Brasil AG - Sucursal em Portugal,2012,,,,,,not_measured,,EUR_million,not_acquired,blocked_missing_audited_statement_extract,Audited statement extraction required before measuring liability relief or retained obligations
"Banco Espírito Santo, S. A.",2011,,,,,,not_measured,,EUR_million,not_acquired,blocked_missing_audited_statement_extract,Audited statement extraction required before measuring liability relief or bank benefit channel
"Banco Espírito Santo, S. A.",2012,,,,,,not_measured,,EUR_million,not_acquired,blocked_missing_audited_statement_extract,Audited statement extraction required before measuring liability relief or retained obligations
"Banco Espírito Santo de Investimento, S. A.",2011,,,,,,not_measured,,EUR_million,not_acquired,blocked_missing_audited_statement_extract,Audited statement extraction required before measuring liability relief or bank benefit channel
"Banco Espírito Santo de Investimento, S. A.",2012,,,,,,not_measured,,EUR_million,not_acquired,blocked_missing_audited_statement_extract,Audited statement extraction required before measuring liability relief or retained obligations
"Banco Espírito Santo dos Açores, S. A.",2011,,,,,,not_measured,,EUR_million,not_acquired,blocked_missing_audited_statement_extract,Audited statement extraction required before measuring liability relief or bank benefit channel
"Banco Espírito Santo dos Açores, S. A.",2012,,,,,,not_measured,,EUR_million,not_acquired,blocked_missing_audited_statement_extract,Audited statement extraction required before measuring liability relief or retained obligations
"Banco Credibom, S. A.",2011,,,,,,not_measured,,EUR_million,not_acquired,blocked_missing_audited_statement_extract,Audited statement extraction required before measuring liability relief or bank benefit channel
"Banco Credibom, S. A.",2012,,,,,,not_measured,,EUR_million,not_acquired,blocked_missing_audited_statement_extract,Audited statement extraction required before measuring liability relief or retained obligations
"Banco Popular Portugal, S. A.",2011,,,,,,not_measured,,EUR_million,not_acquired,blocked_missing_audited_statement_extract,Audited statement extraction required before measuring liability relief or bank benefit channel
"Banco Popular Portugal, S. A.",2012,,,,,,not_measured,,EUR_million,not_acquired,blocked_missing_audited_statement_extract,Audited statement extraction required before measuring liability relief or retained obligations
"Banco Santander Totta, S. A. - fundo de pensões do ex-Crédito Predial Português e do ex-Banco Santander Portugal",2011,,,,,,not_measured,,EUR_million,not_acquired,blocked_missing_audited_statement_extract,Audited statement extraction required before measuring liability relief or bank benefit channel
"Banco Santander Totta, S. A. - fundo de pensões do ex-Crédito Predial Português e do ex-Banco Santander Portugal",2012,,,,,,not_measured,,EUR_million,not_acquired,blocked_missing_audited_statement_extract,Audited statement extraction required before measuring liability relief or retained obligations
"BNP Paribas, S. A. - Sucursal em Portugal",2011,,,,,,not_measured,,EUR_million,not_acquired,blocked_missing_audited_statement_extract,Audited statement extraction required before measuring liability relief or bank benefit channel
"BNP Paribas, S. A. - Sucursal em Portugal",2012,,,,,,not_measured,,EUR_million,not_acquired,blocked_missing_audited_statement_extract,Audited statement extraction required before measuring liability relief or retained obligations
Caixa Económica Montepio Geral,2011,,,,,,not_measured,,EUR_million,not_acquired,blocked_missing_audited_statement_extract,Audited statement extraction required before measuring liability relief or bank benefit channel
Caixa Económica Montepio Geral,2012,,,,,,not_measured,,EUR_million,not_acquired,blocked_missing_audited_statement_extract,Audited statement extraction required before measuring liability relief or retained obligations
"Banco Comercial Português, S. A.",2011,,,,,,not_measured,,EUR_million,not_acquired,blocked_missing_audited_statement_extract,Audited statement extraction required before measuring liability relief or bank benefit channel
"Banco Comercial Português, S. A.",2012,,,,,,not_measured,,EUR_million,not_acquired,blocked_missing_audited_statement_extract,Audited statement extraction required before measuring liability relief or retained obligations
"Banco de Investimento Imobiliário, S. A.",2011,,,,,,not_measured,,EUR_million,not_acquired,blocked_missing_audited_statement_extract,Audited statement extraction required before measuring liability relief or bank benefit channel
"Banco de Investimento Imobiliário, S. A.",2012,,,,,,not_measured,,EUR_million,not_acquired,blocked_missing_audited_statement_extract,Audited statement extraction required before measuring liability relief or retained obligations
"Banco Activobank (Portugal), S. A.",2011,,,,,,not_measured,,EUR_million,not_acquired,blocked_missing_audited_statement_extract,Audited statement extraction required before measuring liability relief or bank benefit channel
"Banco Activobank (Portugal), S. A.",2012,,,,,,not_measured,,EUR_million,not_acquired,blocked_missing_audited_statement_extract,Audited statement extraction required before measuring liability relief or retained obligations
"UNICRE - Instituição Financeira de Crédito, S. A.",2011,,,,,,not_measured,,EUR_million,not_acquired,blocked_missing_audited_statement_extract,Audited statement extraction required before measuring liability relief or bank benefit channel
"UNICRE - Instituição Financeira de Crédito, S. A.",2012,,,,,,not_measured,,EUR_million,not_acquired,blocked_missing_audited_statement_extract,Audited statement extraction required before measuring liability relief or retained obligations
