record_id,year,institution,perimeter,source_label,measure,value,unit,price_basis,accounting_basis,source_id,sheet,cell,extraction_method,status,notes
CGE2022_AP_PUBLIC_ACCOUNT_BALANCE,2022,administracoes_publicas,consolidated_public_administrations,saldo_global,public_accounting_balance,-3406.3,EUR_million,current_prices,public_accounting_cash_basis,DGO_CGE_2022_TABLES,Quadro 3.1.,F42,xlsx_cell_extraction,extracted,Total public-administration saldo global in public-accounting perspective; source workbook stores this consolidated row rounded to one decimal.
CGE2022_AC_PUBLIC_ACCOUNT_BALANCE,2022,administracao_central,central_government,saldo_global,public_accounting_balance,-7621.9,EUR_million,current_prices,public_accounting_cash_basis,DGO_CGE_2022_TABLES,Quadro 3.1.,C42,xlsx_cell_extraction,extracted,Central-government saldo global in consolidated public-administration table; source workbook stores this row rounded to one decimal.
CGE2022_SS_PUBLIC_ACCOUNT_BALANCE,2022,seguranca_social,social_security_subsector,saldo_global,public_accounting_balance,4068.024015,EUR_million,current_prices,public_accounting_cash_basis,DGO_CGE_2022_TABLES,Quadro CSS 2,E71,xlsx_cell_extraction,reconciled,Social Security saldo global from budget execution table equals effective revenue minus effective expenditure and reconciles to CSS subsystem balances.
CGE2022_AC_SS_PUBLIC_ACCOUNT_BALANCE,2022,administracao_central_e_seguranca_social,central_government_plus_social_security,saldo_global,public_accounting_balance,-3553.8,EUR_million,current_prices,public_accounting_cash_basis,DGO_CGE_2022_TABLES,Quadro 3.2.,E42,xlsx_cell_extraction,extracted,Consolidated central-government and Social Security saldo global; source workbook stores this row rounded to one decimal.
CGE2022_SS_PREVIDENTIAL_BALANCE,2022,seguranca_social,sistema_previdencial_reparticao_capitalizacao,saldo_orcamental,subsystem_budget_balance,4277.944836282,EUR_million,current_prices,public_accounting_cash_basis,DGO_CGE_2022_TABLES,Quadro CSS 3,C5,xlsx_cell_extraction,extracted,Sistema Previdencial balance from Social Security account table.
CGE2022_SS_CITIZENSHIP_BALANCE,2022,seguranca_social,sistema_protecao_social_cidadania,saldo_orcamental,subsystem_budget_balance,-209.922071532,EUR_million,current_prices,public_accounting_cash_basis,DGO_CGE_2022_TABLES,Quadro CSS 3,C6,xlsx_cell_extraction,extracted,Sistema de Protecao Social de Cidadania balance from Social Security account table.
CGE2022_SS_SPECIAL_REGIMES_BALANCE,2022,seguranca_social,sistema_regimes_especiais,saldo_orcamental,subsystem_budget_balance,0.0012502,EUR_million,current_prices,public_accounting_cash_basis,DGO_CGE_2022_TABLES,Quadro CSS 3,C7,xlsx_cell_extraction,extracted,Sistema de Regimes Especiais balance from Social Security account table.
CGE2022_SS_EFFECTIVE_REVENUE,2022,seguranca_social,social_security_subsector,receita_efetiva,effective_revenue,35527.388404,EUR_million,current_prices,public_accounting_cash_basis,DGO_CGE_2022_TABLES,Quadro CSS 2,E31,xlsx_cell_extraction,extracted,Social Security effective revenue in Social Security budget execution table.
CGE2022_SS_EFFECTIVE_EXPENDITURE,2022,seguranca_social,social_security_subsector,despesa_efetiva,effective_expenditure,31459.364389,EUR_million,current_prices,public_accounting_cash_basis,DGO_CGE_2022_TABLES,Quadro CSS 2,E70,xlsx_cell_extraction,extracted,Social Security effective expenditure in Social Security budget execution table.
CGE2022_SS_CONTRIBUTIONS,2022,seguranca_social,social_security_subsector,contribuicoes_e_quotizacoes,contribution_revenue,22316.143181,EUR_million,current_prices,public_accounting_cash_basis,DGO_CGE_2022_TABLES,Quadro CSS 2,E8,xlsx_cell_extraction,extracted,Social Security contributions in Social Security budget execution table.
CGE2022_SS_CENTRAL_ADMIN_CURRENT_TRANSFERS,2022,seguranca_social,social_security_subsector,transferencias_correntes_administracao_central,current_transfer_revenue,10900.474138,EUR_million,current_prices,public_accounting_cash_basis,DGO_CGE_2022_TABLES,Quadro CSS 2,E9,xlsx_cell_extraction,extracted,Current transfers from central administration in Social Security budget execution table.
CGE2022_SS_OE_TRANSFERS,2022,seguranca_social,social_security_subsector,transferencias_do_oe,state_budget_transfer_revenue,10538.789536,EUR_million,current_prices,public_accounting_cash_basis,DGO_CGE_2022_TABLES,Quadro CSS 2,E11,xlsx_cell_extraction,extracted,State Budget transfers in Social Security budget execution table.
CGE2022_SS_BANK_PENSIONS_TRANSFER,2022,seguranca_social,banking_substitute_regime,pensoes_bancarios_transferencia,earmarked_transfer_revenue,408.612053,EUR_million,current_prices,public_accounting_cash_basis,DGO_CGE_2022_TABLES,Quadro CSS 2,E17,xlsx_cell_extraction,extracted,Banking-pensions transfer line inside State Budget transfer breakdown.
CGE2022_SS_PENSIONS_EXPENDITURE,2022,seguranca_social,social_security_subsector,pensoes,pension_expenditure,19720.049562,EUR_million,current_prices,public_accounting_cash_basis,DGO_CGE_2022_TABLES,Quadro CSS 2,E34,xlsx_cell_extraction,extracted,Social Security pension expenditure in budget execution table.
