year,employer_class,unit,price_basis,accounting_basis,legal_employer_rate_total,legal_due,recorded_cga_employer_revenue,timing_adjustments,arrears_corrections,base_definition_adjustment,perimeter_adjustment,legal_compliance_gap,economic_benchmark_rate_total,economic_benchmark_due,economic_benchmark_gap,source_ids,legal_rate_basis,economic_benchmark_basis,missing_inputs,claim_permitted,status,notes
1977,central_state_integrated_services,EUR_million,current_prices,legal_cash_reconciliation,,,,,,,,,,,,DGO_CGE_ARCHIVE,blocked_missing_primary_law_rate_history,not_applicable_until_legal_rate_bounded,legal_employer_rate_total;employer_class_payroll_base;legal_due;recorded_cga_employer_revenue;timing_adjustments;arrears_corrections;base_definition_adjustment;perimeter_adjustment;economic_benchmark_due,no,blocked_missing_legal_payroll_and_revenue_data,Legal compliance gap and economic benchmark gap cannot be computed; economic benchmark is not a legal debt.
1977,entities_already_contributing_before_2007,EUR_million,current_prices,legal_cash_reconciliation,,,,,,,,,,,,DGO_CGE_ARCHIVE,blocked_missing_primary_law_rate_history,not_applicable_until_legal_rate_bounded,legal_employer_rate_total;employer_class_payroll_base;legal_due;recorded_cga_employer_revenue;timing_adjustments;arrears_corrections;base_definition_adjustment;perimeter_adjustment;economic_benchmark_due,no,blocked_missing_legal_payroll_and_revenue_data,Legal compliance gap and economic benchmark gap cannot be computed; economic benchmark is not a legal debt.
1977,autonomous_entities_first_covered_2007,EUR_million,current_prices,legal_cash_reconciliation,,,,,,,,,,,,DGO_CGE_ARCHIVE,blocked_missing_primary_law_rate_history,not_applicable_until_legal_rate_bounded,legal_employer_rate_total;employer_class_payroll_base;legal_due;recorded_cga_employer_revenue;timing_adjustments;arrears_corrections;base_definition_adjustment;perimeter_adjustment;economic_benchmark_due,no,blocked_missing_legal_payroll_and_revenue_data,Legal compliance gap and economic benchmark gap cannot be computed; economic benchmark is not a legal debt.
1977,entities_first_covered_2009,EUR_million,current_prices,legal_cash_reconciliation,,,,,,,,,,,,DGO_CGE_ARCHIVE,blocked_missing_primary_law_rate_history,not_applicable_until_legal_rate_bounded,legal_employer_rate_total;employer_class_payroll_base;legal_due;recorded_cga_employer_revenue;timing_adjustments;arrears_corrections;base_definition_adjustment;perimeter_adjustment;economic_benchmark_due,no,blocked_missing_legal_payroll_and_revenue_data,Legal compliance gap and economic benchmark gap cannot be computed; economic benchmark is not a legal debt.
1978,central_state_integrated_services,EUR_million,current_prices,legal_cash_reconciliation,,,,,,,,,,,,DGO_CGE_ARCHIVE,blocked_missing_primary_law_rate_history,not_applicable_until_legal_rate_bounded,legal_employer_rate_total;employer_class_payroll_base;legal_due;recorded_cga_employer_revenue;timing_adjustments;arrears_corrections;base_definition_adjustment;perimeter_adjustment;economic_benchmark_due,no,blocked_missing_legal_payroll_and_revenue_data,Legal compliance gap and economic benchmark gap cannot be computed; economic benchmark is not a legal debt.
1978,entities_already_contributing_before_2007,EUR_million,current_prices,legal_cash_reconciliation,,,,,,,,,,,,DGO_CGE_ARCHIVE,blocked_missing_primary_law_rate_history,not_applicable_until_legal_rate_bounded,legal_employer_rate_total;employer_class_payroll_base;legal_due;recorded_cga_employer_revenue;timing_adjustments;arrears_corrections;base_definition_adjustment;perimeter_adjustment;economic_benchmark_due,no,blocked_missing_legal_payroll_and_revenue_data,Legal compliance gap and economic benchmark gap cannot be computed; economic benchmark is not a legal debt.
1978,autonomous_entities_first_covered_2007,EUR_million,current_prices,legal_cash_reconciliation,,,,,,,,,,,,DGO_CGE_ARCHIVE,blocked_missing_primary_law_rate_history,not_applicable_until_legal_rate_bounded,legal_employer_rate_total;employer_class_payroll_base;legal_due;recorded_cga_employer_revenue;timing_adjustments;arrears_corrections;base_definition_adjustment;perimeter_adjustment;economic_benchmark_due,no,blocked_missing_legal_payroll_and_revenue_data,Legal compliance gap and economic benchmark gap cannot be computed; economic benchmark is not a legal debt.
1978,entities_first_covered_2009,EUR_million,current_prices,legal_cash_reconciliation,,,,,,,,,,,,DGO_CGE_ARCHIVE,blocked_missing_primary_law_rate_history,not_applicable_until_legal_rate_bounded,legal_employer_rate_total;employer_class_payroll_base;legal_due;recorded_cga_employer_revenue;timing_adjustments;arrears_corrections;base_definition_adjustment;perimeter_adjustment;economic_benchmark_due,no,blocked_missing_legal_payroll_and_revenue_data,Legal compliance gap and economic benchmark gap cannot be computed; economic benchmark is not a legal debt.
1979,central_state_integrated_services,EUR_million,current_prices,legal_cash_reconciliation,,,,,,,,,,,,DGO_CGE_ARCHIVE,blocked_missing_primary_law_rate_history,not_applicable_until_legal_rate_bounded,legal_employer_rate_total;employer_class_payroll_base;legal_due;recorded_cga_employer_revenue;timing_adjustments;arrears_corrections;base_definition_adjustment;perimeter_adjustment;economic_benchmark_due,no,blocked_missing_legal_payroll_and_revenue_data,Legal compliance gap and economic benchmark gap cannot be computed; economic benchmark is not a legal debt.
1979,entities_already_contributing_before_2007,EUR_million,current_prices,legal_cash_reconciliation,,,,,,,,,,,,DGO_CGE_ARCHIVE,blocked_missing_primary_law_rate_history,not_applicable_until_legal_rate_bounded,legal_employer_rate_total;employer_class_payroll_base;legal_due;recorded_cga_employer_revenue;timing_adjustments;arrears_corrections;base_definition_adjustment;perimeter_adjustment;economic_benchmark_due,no,blocked_missing_legal_payroll_and_revenue_data,Legal compliance gap and economic benchmark gap cannot be computed; economic benchmark is not a legal debt.
1979,autonomous_entities_first_covered_2007,EUR_million,current_prices,legal_cash_reconciliation,,,,,,,,,,,,DGO_CGE_ARCHIVE,blocked_missing_primary_law_rate_history,not_applicable_until_legal_rate_bounded,legal_employer_rate_total;employer_class_payroll_base;legal_due;recorded_cga_employer_revenue;timing_adjustments;arrears_corrections;base_definition_adjustment;perimeter_adjustment;economic_benchmark_due,no,blocked_missing_legal_payroll_and_revenue_data,Legal compliance gap and economic benchmark gap cannot be computed; economic benchmark is not a legal debt.
1979,entities_first_covered_2009,EUR_million,current_prices,legal_cash_reconciliation,,,,,,,,,,,,DGO_CGE_ARCHIVE,blocked_missing_primary_law_rate_history,not_applicable_until_legal_rate_bounded,legal_employer_rate_total;employer_class_payroll_base;legal_due;recorded_cga_employer_revenue;timing_adjustments;arrears_corrections;base_definition_adjustment;perimeter_adjustment;economic_benchmark_due,no,blocked_missing_legal_payroll_and_revenue_data,Legal compliance gap and economic benchmark gap cannot be computed; economic benchmark is not a legal debt.
1980,central_state_integrated_services,EUR_million,current_prices,legal_cash_reconciliation,,,,,,,,,,,,DGO_CGE_ARCHIVE,blocked_missing_primary_law_rate_history,not_applicable_until_legal_rate_bounded,legal_employer_rate_total;employer_class_payroll_base;legal_due;recorded_cga_employer_revenue;timing_adjustments;arrears_corrections;base_definition_adjustment;perimeter_adjustment;economic_benchmark_due,no,blocked_missing_legal_payroll_and_revenue_data,Legal compliance gap and economic benchmark gap cannot be computed; economic benchmark is not a legal debt.
1980,entities_already_contributing_before_2007,EUR_million,current_prices,legal_cash_reconciliation,,,,,,,,,,,,DGO_CGE_ARCHIVE,blocked_missing_primary_law_rate_history,not_applicable_until_legal_rate_bounded,legal_employer_rate_total;employer_class_payroll_base;legal_due;recorded_cga_employer_revenue;timing_adjustments;arrears_corrections;base_definition_adjustment;perimeter_adjustment;economic_benchmark_due,no,blocked_missing_legal_payroll_and_revenue_data,Legal compliance gap and economic benchmark gap cannot be computed; economic benchmark is not a legal debt.
1980,autonomous_entities_first_covered_2007,EUR_million,current_prices,legal_cash_reconciliation,,,,,,,,,,,,DGO_CGE_ARCHIVE,blocked_missing_primary_law_rate_history,not_applicable_until_legal_rate_bounded,legal_employer_rate_total;employer_class_payroll_base;legal_due;recorded_cga_employer_revenue;timing_adjustments;arrears_corrections;base_definition_adjustment;perimeter_adjustment;economic_benchmark_due,no,blocked_missing_legal_payroll_and_revenue_data,Legal compliance gap and economic benchmark gap cannot be computed; economic benchmark is not a legal debt.
1980,entities_first_covered_2009,EUR_million,current_prices,legal_cash_reconciliation,,,,,,,,,,,,DGO_CGE_ARCHIVE,blocked_missing_primary_law_rate_history,not_applicable_until_legal_rate_bounded,legal_employer_rate_total;employer_class_payroll_base;legal_due;recorded_cga_employer_revenue;timing_adjustments;arrears_corrections;base_definition_adjustment;perimeter_adjustment;economic_benchmark_due,no,blocked_missing_legal_payroll_and_revenue_data,Legal compliance gap and economic benchmark gap cannot be computed; economic benchmark is not a legal debt.
