requirement_id,institution,legal_source_id,required_liability_fields,required_asset_fields,statutory_equality_status,sensitivity_status,economic_interpretation_rule,status,blocking_issue,notes
BANK_AL_REQ_01,Barclays Bank PLC - Sucursal em Portugal,DR_DL127_2011,final_actuarial_liability_pv_legal_4pct;covered_population;cashflow_schedule;mortality_table,final_assets_transferred_total;cash_transferred;portuguese_public_debt_transferred;other_assets_transferred;final_adjustment,statutory_equality_not_reproduced_missing_inputs,sensitivity_blocked_missing_cashflows,alternative_discount_rate_is_sensitivity_not_underfunding_finding,blocked_missing_bank_level_values,primary bank-level valuation schedule and asset composition missing,Institution listed in DL127 annex
BANK_AL_REQ_02,"BANIF - Banco Internacional do Funchal, S. A.",DR_DL127_2011,final_actuarial_liability_pv_legal_4pct;covered_population;cashflow_schedule;mortality_table,final_assets_transferred_total;cash_transferred;portuguese_public_debt_transferred;other_assets_transferred;final_adjustment,statutory_equality_not_reproduced_missing_inputs,sensitivity_blocked_missing_cashflows,alternative_discount_rate_is_sensitivity_not_underfunding_finding,blocked_missing_bank_level_values,primary bank-level valuation schedule and asset composition missing,Institution listed in DL127 annex
BANK_AL_REQ_03,"Banco Bilbao Vizcaya Argentaria (Portugal), S. A.",DR_DL127_2011,final_actuarial_liability_pv_legal_4pct;covered_population;cashflow_schedule;mortality_table,final_assets_transferred_total;cash_transferred;portuguese_public_debt_transferred;other_assets_transferred;final_adjustment,statutory_equality_not_reproduced_missing_inputs,sensitivity_blocked_missing_cashflows,alternative_discount_rate_is_sensitivity_not_underfunding_finding,blocked_missing_bank_level_values,primary bank-level valuation schedule and asset composition missing,Institution listed in DL127 annex
BANK_AL_REQ_04,"Banco BPI, S. A.",DR_DL127_2011,final_actuarial_liability_pv_legal_4pct;covered_population;cashflow_schedule;mortality_table,final_assets_transferred_total;cash_transferred;portuguese_public_debt_transferred;other_assets_transferred;final_adjustment,statutory_equality_not_reproduced_missing_inputs,sensitivity_blocked_missing_cashflows,alternative_discount_rate_is_sensitivity_not_underfunding_finding,blocked_missing_bank_level_values,primary bank-level valuation schedule and asset composition missing,Institution listed in DL127 annex
BANK_AL_REQ_05,"Banco Português de Investimento, S. A.",DR_DL127_2011,final_actuarial_liability_pv_legal_4pct;covered_population;cashflow_schedule;mortality_table,final_assets_transferred_total;cash_transferred;portuguese_public_debt_transferred;other_assets_transferred;final_adjustment,statutory_equality_not_reproduced_missing_inputs,sensitivity_blocked_missing_cashflows,alternative_discount_rate_is_sensitivity_not_underfunding_finding,blocked_missing_bank_level_values,primary bank-level valuation schedule and asset composition missing,Institution listed in DL127 annex
BANK_AL_REQ_06,Banco do Brasil AG - Sucursal em Portugal,DR_DL127_2011,final_actuarial_liability_pv_legal_4pct;covered_population;cashflow_schedule;mortality_table,final_assets_transferred_total;cash_transferred;portuguese_public_debt_transferred;other_assets_transferred;final_adjustment,statutory_equality_not_reproduced_missing_inputs,sensitivity_blocked_missing_cashflows,alternative_discount_rate_is_sensitivity_not_underfunding_finding,blocked_missing_bank_level_values,primary bank-level valuation schedule and asset composition missing,Institution listed in DL127 annex
BANK_AL_REQ_07,"Banco Espírito Santo, S. A.",DR_DL127_2011,final_actuarial_liability_pv_legal_4pct;covered_population;cashflow_schedule;mortality_table,final_assets_transferred_total;cash_transferred;portuguese_public_debt_transferred;other_assets_transferred;final_adjustment,statutory_equality_not_reproduced_missing_inputs,sensitivity_blocked_missing_cashflows,alternative_discount_rate_is_sensitivity_not_underfunding_finding,blocked_missing_bank_level_values,primary bank-level valuation schedule and asset composition missing,Institution listed in DL127 annex
BANK_AL_REQ_08,"Banco Espírito Santo de Investimento, S. A.",DR_DL127_2011,final_actuarial_liability_pv_legal_4pct;covered_population;cashflow_schedule;mortality_table,final_assets_transferred_total;cash_transferred;portuguese_public_debt_transferred;other_assets_transferred;final_adjustment,statutory_equality_not_reproduced_missing_inputs,sensitivity_blocked_missing_cashflows,alternative_discount_rate_is_sensitivity_not_underfunding_finding,blocked_missing_bank_level_values,primary bank-level valuation schedule and asset composition missing,Institution listed in DL127 annex
BANK_AL_REQ_09,"Banco Espírito Santo dos Açores, S. A.",DR_DL127_2011,final_actuarial_liability_pv_legal_4pct;covered_population;cashflow_schedule;mortality_table,final_assets_transferred_total;cash_transferred;portuguese_public_debt_transferred;other_assets_transferred;final_adjustment,statutory_equality_not_reproduced_missing_inputs,sensitivity_blocked_missing_cashflows,alternative_discount_rate_is_sensitivity_not_underfunding_finding,blocked_missing_bank_level_values,primary bank-level valuation schedule and asset composition missing,Institution listed in DL127 annex
BANK_AL_REQ_10,"Banco Credibom, S. A.",DR_DL127_2011,final_actuarial_liability_pv_legal_4pct;covered_population;cashflow_schedule;mortality_table,final_assets_transferred_total;cash_transferred;portuguese_public_debt_transferred;other_assets_transferred;final_adjustment,statutory_equality_not_reproduced_missing_inputs,sensitivity_blocked_missing_cashflows,alternative_discount_rate_is_sensitivity_not_underfunding_finding,blocked_missing_bank_level_values,primary bank-level valuation schedule and asset composition missing,Institution listed in DL127 annex
