record_id,year,institution,perimeter,source_label,measure,value,unit,price_basis,accounting_basis,source_id,sheet,cell,extraction_method,status,notes
CGE2021_AP_PUBLIC_ACCOUNT_BALANCE,2021,administracoes_publicas,consolidated_public_administrations,saldo_global,public_accounting_balance,-8643.2,EUR_million,current_prices,public_accounting_cash_basis,DGO_CGE_2021_TABLES,Quadro 25,F63,xlsx_cell_extraction,extracted,Total public-administration saldo global in public-accounting perspective; source workbook stores this row rounded to one decimal.
CGE2021_AC_PUBLIC_ACCOUNT_BALANCE,2021,administracao_central,central_government,saldo_global,public_accounting_balance,-10622.7,EUR_million,current_prices,public_accounting_cash_basis,DGO_CGE_2021_TABLES,Quadro 25,C63,xlsx_cell_extraction,extracted,Central-government saldo global in consolidated public-administration table; source workbook stores this row rounded to one decimal.
CGE2021_SS_PUBLIC_ACCOUNT_BALANCE,2021,seguranca_social,social_security_subsector,saldo_global,public_accounting_balance,2328.3,EUR_million,current_prices,public_accounting_cash_basis,DGO_CGE_2021_TABLES,Quadro 25,D63,xlsx_cell_extraction,extracted,Social Security saldo global from consolidated public-administration table; source workbook stores this row rounded to one decimal.
CGE2021_AC_SS_PUBLIC_ACCOUNT_BALANCE,2021,administracao_central_e_seguranca_social,central_government_plus_social_security,saldo_global,public_accounting_balance,-8294.5,EUR_million,current_prices,public_accounting_cash_basis,DGO_CGE_2021_TABLES,Quadro 26,E62,xlsx_cell_extraction,extracted,Consolidated central-government and Social Security saldo global; source workbook stores this row rounded to one decimal.
CGE2021_SS_PREVIDENTIAL_BALANCE,2021,seguranca_social,sistema_previdencial_reparticao_capitalizacao,saldo_orcamental,subsystem_budget_balance,2345.94,EUR_million,current_prices,public_accounting_cash_basis,DGO_CGE_2021_TABLES,Quadro CSS 3,C5,xlsx_cell_extraction,extracted,Sistema Previdencial balance from Social Security account table; source workbook stores this row rounded to two decimals.
CGE2021_SS_CITIZENSHIP_BALANCE,2021,seguranca_social,sistema_protecao_social_cidadania,saldo_orcamental,subsystem_budget_balance,-17.83,EUR_million,current_prices,public_accounting_cash_basis,DGO_CGE_2021_TABLES,Quadro CSS 3,C6,xlsx_cell_extraction,extracted,Sistema de Protecao Social de Cidadania balance from Social Security account table; source workbook stores this row rounded to two decimals.
CGE2021_SS_SPECIAL_REGIMES_BALANCE,2021,seguranca_social,sistema_regimes_especiais,saldo_orcamental,subsystem_budget_balance,0.21,EUR_million,current_prices,public_accounting_cash_basis,DGO_CGE_2021_TABLES,Quadro CSS 3,C7,xlsx_cell_extraction,extracted,Sistema de Regimes Especiais balance from Social Security account table; source workbook stores this row rounded to two decimals.
CGE2021_SS_EFFECTIVE_REVENUE,2021,seguranca_social,social_security_subsector,receita_efetiva,effective_revenue,33566.5,EUR_million,current_prices,public_accounting_cash_basis,DGO_CGE_2021_TABLES,Quadro 25,D34,xlsx_cell_extraction,extracted,Social Security effective revenue in consolidated public-administration table; source workbook stores this row rounded to one decimal.
CGE2021_SS_EFFECTIVE_EXPENDITURE,2021,seguranca_social,social_security_subsector,despesa_efetiva,effective_expenditure,31238.3,EUR_million,current_prices,public_accounting_cash_basis,DGO_CGE_2021_TABLES,Quadro 25,D62,xlsx_cell_extraction,extracted,Social Security effective expenditure in consolidated public-administration table; source workbook stores this row rounded to one decimal.
CGE2021_SS_CONTRIBUTIONS,2021,seguranca_social,social_security_subsector,contribuicoes_e_quotizacoes,contribution_revenue,19953.7,EUR_million,current_prices,public_accounting_cash_basis,DGO_CGE_2021_TABLES,Quadro CSS 2,E8,xlsx_cell_extraction,extracted,Social Security contributions in Social Security budget execution table; source workbook stores this row rounded to one decimal.
CGE2021_SS_CENTRAL_ADMIN_CURRENT_TRANSFERS,2021,seguranca_social,social_security_subsector,transferencias_correntes_administracao_central,current_transfer_revenue,10871.4,EUR_million,current_prices,public_accounting_cash_basis,DGO_CGE_2021_TABLES,Quadro CSS 2,E9,xlsx_cell_extraction,extracted,Current transfers from central administration in Social Security budget execution table; source workbook stores this row rounded to one decimal.
CGE2021_SS_OE_TRANSFERS,2021,seguranca_social,social_security_subsector,transferencias_do_oe,state_budget_transfer_revenue,10519.7,EUR_million,current_prices,public_accounting_cash_basis,DGO_CGE_2021_TABLES,Quadro CSS 2,E11,xlsx_cell_extraction,extracted,State Budget transfers in Social Security budget execution table; source workbook stores this row rounded to one decimal.
CGE2021_SS_BANK_PENSIONS_TRANSFER,2021,seguranca_social,banking_substitute_regime,pensoes_bancarios_transferencia,earmarked_transfer_revenue,421.7,EUR_million,current_prices,public_accounting_cash_basis,DGO_CGE_2021_TABLES,Quadro CSS 2,E17,xlsx_cell_extraction,extracted,Banking-pensions transfer line inside State Budget transfer breakdown; source workbook stores this row rounded to one decimal.
CGE2021_SS_PENSIONS_EXPENDITURE,2021,seguranca_social,social_security_subsector,pensoes,pension_expenditure,18459.2,EUR_million,current_prices,public_accounting_cash_basis,DGO_CGE_2021_TABLES,Quadro CSS 2,E34,xlsx_cell_extraction,extracted,Social Security pension expenditure in budget execution table; source workbook stores this row rounded to one decimal.
