rule_id,rule_type,component,operation,sign_convention,double_counting_guard,unit_requirement,source_requirement,status,blocking_issue,notes
INC_PREVIDENTIAL_BALANCE,inclusion,previdential_balance,add,positive_surplus_negative_deficit,use official previdential subsystem once per definition,EUR_million,Conta da Seguranca Social previdential balance table,blocked_primary_source_missing,primary previdential balance source missing,Required for RGSS/previdential and combined perimeters
INC_CGA_BALANCE,inclusion,cga_balance,add,positive_surplus_negative_deficit,use official CGA institutional balance once per definition,EUR_million,CGA annual accounts and CGE bridge,blocked_primary_source_missing,primary CGA balance source missing,Required for CGA and combined perimeters
INC_CONSOLIDATION_ELIMINATIONS,inclusion,consolidation_eliminations,adjust,signed_reconciliation_adjustment,eliminate only source-identified intra-public transfers,EUR_million,national accounts or CGE consolidation bridge,blocked_primary_source_missing,primary consolidation bridge missing,Prevents double counting of transfers inside a consolidated perimeter
INC_HISTORICAL_ADJUSTMENTS,inclusion,historical_adjustments,adjust,signed_reconciliation_adjustment,apply only registered working-group adjustment rows,EUR_million,working-group adjustment bridge,blocked_primary_source_missing,primary historical adjustment bridge missing,No adjustment may be tuned to a headline number
INC_FEFSS_FLOW,inclusion,fefss_annual_flow,add_or_show_separately,positive_surplus_negative_deficit,never add FEFSS stock as if it were an annual flow,EUR_million,FEFSS annual accounts,blocked_primary_source_missing,primary FEFSS annual flow source missing,Used only in explicit alternative FEFSS treatment
INC_BANK_SPECIAL_OBLIGATIONS,inclusion,bank_special_regime_obligations,show_as_sensitivity,negative_expenditure_for_balance,keep bank special-regime obligations separate from headline CGA plus previdential sum,EUR_million,bank special-regime annual expenditure and financing bridge,blocked_primary_source_missing,primary bank special-regime bridge missing,Required sensitivity when relevant
EXC_CGA_BALANCE,exclusion,cga_balance,exclude,not_applicable,prevents importing CGA into standalone previdential perimeter,EUR_million,CGA annual accounts and CGE bridge,blocked_primary_source_missing,primary CGA balance source missing,Applies to reported previdential standalone definition
EXC_PREVIDENTIAL_BALANCE,exclusion,previdential_balance,exclude,not_applicable,prevents importing previdential balance into standalone CGA perimeter,EUR_million,Conta da Seguranca Social previdential balance table,blocked_primary_source_missing,primary previdential balance source missing,Applies to standalone CGA definition
EXC_FEFSS_STOCK,exclusion,fefss_asset_stock,exclude,not_applicable,prevents stock-flow double counting,EUR_million,FEFSS annual accounts,blocked_primary_source_missing,primary FEFSS stock source missing,FEFSS asset stocks are not annual balance flows
EXC_BANK_SPECIAL_OBLIGATIONS,exclusion,bank_special_regime_obligations,exclude_or_separate,not_applicable,prevents hiding bank obligations inside non-bank headline definitions,EUR_million,bank special-regime annual bridge,blocked_primary_source_missing,primary bank special-regime bridge missing,Ordinary combined definitions keep this as separate sensitivity
EXC_INTRA_PUBLIC_TRANSFERS,exclusion,intra_public_transfers,eliminate,signed_reconciliation_adjustment,prevents double counting transfers between public entities,EUR_million,national accounts or CGE consolidation bridge,blocked_primary_source_missing,primary consolidation bridge missing,Required for consolidated general-government treatment
EXC_EARLY_RETIREMENT_ADJUSTMENT,exclusion,early_retirement_adjustment,exclude,signed_reconciliation_adjustment,prevents applying the working-group correction in the no-adjustment sensitivity,EUR_million,working-group adjustment bridge,blocked_primary_source_missing,primary early-retirement adjustment source missing,Used to isolate sensitivity to the 2025 adjustment
