coverage_id,legal_source_id,instrument,requirement,registry_record_ids,coverage_status,limitation,notes
BANK_LEGAL_TIMELINE_DL54,DR_DL54_2009,Decreto-Lei n. 54/2009,timeline_event,BANK_TIMELINE_2009,source_acquired,none,New banking-sector workers enter RGSS rather than the substitute banking regime
BANK_LEGAL_TIMELINE_DL1A,DR_DL1A_2011,Decreto-Lei n. 1-A/2011,timeline_event,BANK_TIMELINE_2011_ACTIVE,source_acquired,none,Active workers are integrated into RGSS for specified contingencies and CAFEB is extinguished
BANK_LEGAL_TIMELINE_DL127,DR_DL127_2011,Decreto-Lei n. 127/2011,timeline_event,BANK_TIMELINE_2011_TRANSFER,official_detail_registered,raw_pdf_not_acquired,Official detail page registered; reliable raw PDF endpoint still missing
BANK_LEGAL_TIMELINE_DL88,DR_DL88_2012,Decreto-Lei n. 88/2012,timeline_event,BANK_TIMELINE_2012_BPN,source_acquired,none,BPN-specific case remains separate from the 2011 DL127 panel
DL127_REQ_PENSIONS_ASSUMED,DR_DL127_2011,Decreto-Lei n. 127/2011,pensions_assumed,DL127_OBJECT_1;DL127_SS_RESP_1,official_detail_registered,raw_pdf_not_acquired,Social Security assumes specified pensions in payment
DL127_REQ_RETAINED_BANK_LIABILITIES,DR_DL127_2011,Decreto-Lei n. 127/2011,liabilities_retained_by_banks,DL127_BANK_RETAINED_1;DL127_BANK_RETAINED_2,official_detail_registered,raw_pdf_not_acquired,Banks retain specified updates SAMS contributions survivor benefits and complementary benefits
DL127_REQ_ASSETS_TRANSFERRED,DR_DL127_2011,Decreto-Lei n. 127/2011,assets_transferred,DL127_OBJECT_2;DL127_ASSET_1,official_detail_registered,raw_pdf_not_acquired,Ownership of allocated pension-fund assets is transferred to the State
DL127_REQ_STATE_FINANCING,DR_DL127_2011,Decreto-Lei n. 127/2011,state_financing,DL127_OBJECT_3;DL127_STATE_FIN_1,official_detail_registered,raw_pdf_not_acquired,State finances assumed pensions and administrative charges through a specific Social Security transfer
DL127_REQ_VALUATION_DATE,DR_DL127_2011,Decreto-Lei n. 127/2011,valuation_date,DL127_VALUATION_5,official_detail_registered,raw_pdf_not_acquired,Provisional responsibility values use 31 December 2011
DL127_REQ_DISCOUNT_RATE,DR_DL127_2011,Decreto-Lei n. 127/2011,legal_discount_rate,DL127_VALUATION_2,official_detail_registered,raw_pdf_not_acquired,Legal actuarial valuation discount rate is 4 percent
DL127_REQ_MORTALITY_TABLES,DR_DL127_2011,Decreto-Lei n. 127/2011,mortality_tables,DL127_VALUATION_3;DL127_VALUATION_4,official_detail_registered,raw_pdf_not_acquired,Male and female mortality tables are recorded separately in the legal registry
DL127_REQ_INDEPENDENT_VALUATION,DR_DL127_2011,Decreto-Lei n. 127/2011,independent_valuation_procedure,DL127_VALUATION_6,official_detail_registered,raw_pdf_not_acquired,Independent valuation procedure and 0.5 percent dispute threshold are recorded
DL127_REQ_ASSET_COMPOSITION,DR_DL127_2011,Decreto-Lei n. 127/2011,asset_composition_constraints,DL127_ASSET_2,official_detail_registered,raw_pdf_not_acquired,Cash and Portuguese public debt security constraint is recorded
DL127_REQ_TRANSFER_SCHEDULE,DR_DL127_2011,Decreto-Lei n. 127/2011,transfer_schedule,DL127_SCHEDULE_1;DL127_SCHEDULE_2;DL127_SCHEDULE_3,official_detail_registered,raw_pdf_not_acquired,First remaining and provisional fallback transfer schedule rows are recorded
DL127_REQ_PARTICIPATING_INSTITUTIONS,DR_DL127_2011,Decreto-Lei n. 127/2011,participating_institutions,DL127_INST_01;DL127_INST_02;DL127_INST_03;DL127_INST_04;DL127_INST_05;DL127_INST_06;DL127_INST_07;DL127_INST_08;DL127_INST_09;DL127_INST_10;DL127_INST_11;DL127_INST_12;DL127_INST_13;DL127_INST_14;DL127_INST_15;DL127_INST_16;DL127_INST_17;DL127_INST_18,official_detail_registered,raw_pdf_not_acquired,All 18 annex institutions are enumerated in the legal registry
DL127_REQ_EXTINGUISHMENT,DR_DL127_2011,Decreto-Lei n. 127/2011,extinguishing_covered_bank_liabilities,DL127_EXTINCTION_1,official_detail_registered,raw_pdf_not_acquired,Covered bank responsibilities are definitively and irreversibly extinguished after transfer
