term,occurrence_count,concept_mapping,boundary_status,claim_ids,evidence_ids,section_boundary_ids,allowed_context,prohibited_inference,notes
debt,2,Public-debt financing effects are distinct from legal debt and lifecycle public-finance loss,bounded_use,BANK_DEBT_001,AE_BANK_DEBT_001,MS_BANK,Financing sensitivity or gross-debt classification context only,Legal debt or lifecycle public-finance loss,Manuscript uses debt only in bounded public-debt financing contexts
underfunded,0,Underfunding requires a defined legal or actuarial benchmark,blocked_absent,CLAIM_LANGUAGE_001,not_applicable,not_applicable,None in current manuscript,CGA was historically underfunded,No current manuscript occurrence
diverted,0,Diversion or misuse requires documentary evidence of motive or improper flow,blocked_absent,CLAIM_LANGUAGE_001,not_applicable,not_applicable,None in current manuscript,Employee deductions were diverted or misused,No current manuscript occurrence
subsidy,1,Bank-transfer subsidy classification requires full asset liability and lifecycle cost evidence,blocked_negated,BANK_DEBT_001,AE_BANK_DEBT_001,MS_ACCOUNTING,Negated or unresolved-evidence context only,Bank-transfer subsidy as established conclusion,Current occurrence is in a sentence listing unsupported conclusions
loss,1,Loss requires specified perimeter basis and lifecycle horizon,blocked_negated,BANK_DEBT_001,AE_BANK_DEBT_001,MS_BANK,Negated or unresolved-evidence context only,Lifecycle public-finance loss as established conclusion,Current occurrence is in the unsupported phrase lifecycle public-finance loss
losses,3,Losses require specified perimeter basis and lifecycle horizon,blocked_negated,BANK_DEBT_001,AE_BANK_DEBT_001,MS_INTRO;MS_ARCHITECTURE,Negated unresolved or missing-evidence context only,Employee remittance or bank net losses as established conclusions,Current occurrences are bounded as unsupported or missing evidence
harmful,0,Harm requires an identified affected institution perimeter and counterfactual,blocked_absent,CLAIM_LANGUAGE_001,not_applicable,not_applicable,None in current manuscript,Bank transfer or CGA financing was harmful as established conclusion,No current manuscript occurrence
surplus,0,Surplus requires institutional perimeter accounting basis and period definition,blocked_absent,CLAIM_LANGUAGE_001,not_applicable,not_applicable,None in current manuscript,Current surplus proves sustainability or artificiality,No current manuscript occurrence
deficit,3,Deficit requires ESA or budgetary accounting basis and period definition,bounded_use,BANK_FISCAL_001;BANK_FISCAL_002,AE_BANK_FISCAL_001;AE_BANK_FISCAL_002,MS_ACCOUNTING,ESA-95 or ESA-2010 accounting-treatment context only,Deficit effect as welfare gain or uncompensated burden,Current occurrences are tied to accounting-standard treatment
sustainable,0,Sustainability requires actuarial horizon and financing assumptions,blocked_absent,CLAIM_LANGUAGE_001,not_applicable,not_applicable,None in current manuscript,Current balance proves long-run sustainability,No current manuscript occurrence
artificial,0,Artificiality requires a defined accounting bridge and counterfactual,blocked_absent,CLAIM_LANGUAGE_001,not_applicable,not_applicable,None in current manuscript,Social Security surplus is artificial,No current manuscript occurrence
