series_id,year,definition_id,definition_role,component,value,unit,source_ids,component_bridge_ids,sign_effect_class,replication_status,blocking_issue,notes
WG2026_REPORTED_SERIES,2006,published_working_group_definition,published_definition,reported_combined_total,,EUR_million,missing_primary_report,BR_CGA_BALANCE;BR_PREVIDENTIAL_BALANCE;BR_OTHER_RECLASSIFICATIONS,sign_relevant,blocked_primary_source_missing,primary annual series missing,Annual published-definition value required before sign or magnitude can be classified
WG2026_REPORTED_SERIES,2007,published_working_group_definition,published_definition,reported_combined_total,,EUR_million,missing_primary_report,BR_CGA_BALANCE;BR_PREVIDENTIAL_BALANCE;BR_OTHER_RECLASSIFICATIONS,sign_relevant,blocked_primary_source_missing,primary annual series missing,Annual published-definition value required before sign or magnitude can be classified
WG2026_REPORTED_SERIES,2008,published_working_group_definition,published_definition,reported_combined_total,,EUR_million,missing_primary_report,BR_CGA_BALANCE;BR_PREVIDENTIAL_BALANCE;BR_OTHER_RECLASSIFICATIONS,sign_relevant,blocked_primary_source_missing,primary annual series missing,Annual published-definition value required before sign or magnitude can be classified
WG2026_REPORTED_SERIES,2009,published_working_group_definition,published_definition,reported_combined_total,,EUR_million,missing_primary_report,BR_CGA_BALANCE;BR_PREVIDENTIAL_BALANCE;BR_OTHER_RECLASSIFICATIONS,sign_relevant,blocked_primary_source_missing,primary annual series missing,Annual published-definition value required before sign or magnitude can be classified
WG2026_REPORTED_SERIES,2010,published_working_group_definition,published_definition,reported_combined_total,,EUR_million,missing_primary_report,BR_CGA_BALANCE;BR_PREVIDENTIAL_BALANCE;BR_OTHER_RECLASSIFICATIONS,sign_relevant,blocked_primary_source_missing,primary annual series missing,Annual published-definition value required before sign or magnitude can be classified
WG2026_REPORTED_SERIES,2011,published_working_group_definition,published_definition,reported_combined_total,,EUR_million,missing_primary_report,BR_CGA_BALANCE;BR_PREVIDENTIAL_BALANCE;BR_OTHER_RECLASSIFICATIONS,sign_relevant,blocked_primary_source_missing,primary annual series missing,Annual published-definition value required before sign or magnitude can be classified
WG2026_REPORTED_SERIES,2012,published_working_group_definition,published_definition,reported_combined_total,,EUR_million,missing_primary_report,BR_CGA_BALANCE;BR_PREVIDENTIAL_BALANCE;BR_OTHER_RECLASSIFICATIONS,sign_relevant,blocked_primary_source_missing,primary annual series missing,Annual published-definition value required before sign or magnitude can be classified
WG2026_REPORTED_SERIES,2013,published_working_group_definition,published_definition,reported_combined_total,,EUR_million,missing_primary_report,BR_CGA_BALANCE;BR_PREVIDENTIAL_BALANCE;BR_OTHER_RECLASSIFICATIONS,sign_relevant,blocked_primary_source_missing,primary annual series missing,Annual published-definition value required before sign or magnitude can be classified
WG2026_REPORTED_SERIES,2014,published_working_group_definition,published_definition,reported_combined_total,,EUR_million,missing_primary_report,BR_CGA_BALANCE;BR_PREVIDENTIAL_BALANCE;BR_OTHER_RECLASSIFICATIONS,sign_relevant,blocked_primary_source_missing,primary annual series missing,Annual published-definition value required before sign or magnitude can be classified
WG2026_REPORTED_SERIES,2015,published_working_group_definition,published_definition,reported_combined_total,,EUR_million,missing_primary_report,BR_CGA_BALANCE;BR_PREVIDENTIAL_BALANCE;BR_OTHER_RECLASSIFICATIONS,sign_relevant,blocked_primary_source_missing,primary annual series missing,Annual published-definition value required before sign or magnitude can be classified
WG2026_REPORTED_SERIES,2016,published_working_group_definition,published_definition,reported_combined_total,,EUR_million,missing_primary_report,BR_CGA_BALANCE;BR_PREVIDENTIAL_BALANCE;BR_OTHER_RECLASSIFICATIONS,sign_relevant,blocked_primary_source_missing,primary annual series missing,Annual published-definition value required before sign or magnitude can be classified
